place,product,date,competitors_mean_price
Анор Лондо,Целебные травы,2216-01-02,4.21
Анор Лондо,Целебные травы,2216-01-03,4.05
Анор Лондо,Целебные травы,2216-01-04,3.98
Анор Лондо,Целебные травы,2216-01-05,3.9
Анор Лондо,Целебные травы,2216-01-06,3.98
Анор Лондо,Целебные травы,2216-01-07,4.18
Анор Лондо,Целебные травы,2216-01-08,4.18
Анор Лондо,Целебные травы,2216-01-09,4.0
Анор Лондо,Целебные травы,2216-01-10,4.0
Анор Лондо,Целебные травы,2216-01-11,3.98
Анор Лондо,Целебные травы,2216-01-12,4.06
Анор Лондо,Целебные травы,2216-01-13,3.78
Анор Лондо,Целебные травы,2216-01-14,4.18
Анор Лондо,Целебные травы,2216-01-15,4.2
Анор Лондо,Целебные травы,2216-01-16,4.21
Анор Лондо,Целебные травы,2216-01-17,4.1
Анор Лондо,Целебные травы,2216-01-18,4.14
Анор Лондо,Целебные травы,2216-01-19,3.75
Анор Лондо,Целебные травы,2216-01-20,4.2
Анор Лондо,Целебные травы,2216-01-21,4.14
Анор Лондо,Целебные травы,2216-01-22,4.14
Анор Лондо,Целебные травы,2216-01-23,4.14
Анор Лондо,Целебные травы,2216-01-24,4.13
Анор Лондо,Целебные травы,2216-01-25,4.1
Анор Лондо,Целебные травы,2216-01-26,4.07
Анор Лондо,Целебные травы,2216-01-27,4.12
Анор Лондо,Целебные травы,2216-01-28,4.14
Анор Лондо,Целебные травы,2216-01-29,4.0
Анор Лондо,Целебные травы,2216-01-30,4.06
Анор Лондо,Целебные травы,2216-01-31,4.18
Анор Лондо,Целебные травы,2216-02-01,4.06
Анор Лондо,Целебные травы,2216-02-02,4.08
Анор Лондо,Целебные травы,2216-02-03,4.07
Анор Лондо,Целебные травы,2216-02-04,4.12
Анор Лондо,Целебные травы,2216-02-05,4.21
Анор Лондо,Целебные травы,2216-02-06,4.12
Анор Лондо,Целебные травы,2216-02-07,4.0
Анор Лондо,Целебные травы,2216-02-08,4.11
Анор Лондо,Целебные травы,2216-02-09,4.18
Анор Лондо,Целебные травы,2216-02-10,4.18
Анор Лондо,Целебные травы,2216-02-11,4.0
Анор Лондо,Целебные травы,2216-02-12,4.0
Анор Лондо,Целебные травы,2216-02-13,4.0
Анор Лондо,Целебные травы,2216-02-14,3.88
Анор Лондо,Целебные травы,2216-02-15,3.99
Анор Лондо,Целебные травы,2216-02-16,3.99
Анор Лондо,Целебные травы,2216-02-17,4.12
Анор Лондо,Целебные травы,2216-02-18,3.99
Анор Лондо,Целебные травы,2216-02-19,4.1
Анор Лондо,Целебные травы,2216-02-20,4.23
Анор Лондо,Целебные травы,2216-02-21,3.99
Анор Лондо,Целебные травы,2216-02-22,4.12
Анор Лондо,Целебные травы,2216-02-23,3.88
Анор Лондо,Целебные травы,2216-02-24,4.0
Анор Лондо,Целебные травы,2216-02-25,3.88
Анор Лондо,Целебные травы,2216-02-26,3.89
Анор Лондо,Целебные травы,2216-02-27,3.97
Анор Лондо,Целебные травы,2216-02-28,3.89
Анор Лондо,Целебные травы,2216-02-29,3.9
Анор Лондо,Целебные травы,2216-03-01,4.01
Анор Лондо,Целебные травы,2216-03-02,4.02
Анор Лондо,Целебные травы,2216-03-03,3.91
Анор Лондо,Целебные травы,2216-03-04,4.02
Анор Лондо,Целебные травы,2216-03-05,4.02
Анор Лондо,Целебные травы,2216-03-06,4.0
Анор Лондо,Целебные травы,2216-03-07,4.12
Анор Лондо,Целебные травы,2216-03-08,4.0
Анор Лондо,Целебные травы,2216-03-09,4.01
Анор Лондо,Целебные травы,2216-03-10,4.11
Анор Лондо,Целебные травы,2216-03-11,4.12
Анор Лондо,Целебные травы,2216-03-12,4.07
Анор Лондо,Целебные травы,2216-03-13,3.92
Анор Лондо,Целебные травы,2216-03-14,3.89
Анор Лондо,Целебные травы,2216-03-15,4.33
Анор Лондо,Целебные травы,2216-03-16,4.0
Анор Лондо,Целебные травы,2216-03-17,4.06
Анор Лондо,Целебные травы,2216-03-18,4.07
Анор Лондо,Целебные травы,2216-03-19,3.66
Анор Лондо,Целебные травы,2216-03-20,3.89
Анор Лондо,Целебные травы,2216-03-21,4.0
Анор Лондо,Целебные травы,2216-03-22,3.89
Анор Лондо,Целебные травы,2216-03-23,3.82
Анор Лондо,Целебные травы,2216-03-24,3.66
Анор Лондо,Целебные травы,2216-03-25,3.89
Анор Лондо,Целебные травы,2216-03-26,4.34
Анор Лондо,Целебные травы,2216-03-27,4.07
Анор Лондо,Целебные травы,2216-03-28,3.53
Анор Лондо,Целебные травы,2216-03-29,3.79
Анор Лондо,Целебные травы,2216-03-30,4.29
Анор Лондо,Целебные травы,2216-03-31,3.53
Анор Лондо,Целебные травы,2216-04-01,4.04
Анор Лондо,Целебные травы,2216-04-02,3.93
Анор Лондо,Целебные травы,2216-04-03,3.93
Анор Лондо,Целебные травы,2216-04-04,3.93
Анор Лондо,Целебные травы,2216-04-05,3.53
Анор Лондо,Целебные травы,2216-04-06,3.88
Анор Лондо,Целебные травы,2216-04-07,3.91
Анор Лондо,Целебные травы,2216-04-08,3.77
Анор Лондо,Целебные травы,2216-04-09,3.53
Анор Лондо,Целебные травы,2216-04-10,3.53
Анор Лондо,Целебные травы,2216-04-11,3.88
Анор Лондо,Целебные травы,2216-04-12,3.86
Анор Лондо,Целебные травы,2216-04-13,3.53
Анор Лондо,Целебные травы,2216-04-14,3.49
Анор Лондо,Целебные травы,2216-04-15,4.2
Анор Лондо,Целебные травы,2216-04-16,3.86
Анор Лондо,Целебные травы,2216-04-17,3.18
Анор Лондо,Целебные травы,2216-04-18,3.94
Анор Лондо,Целебные травы,2216-04-19,4.0
Анор Лондо,Целебные травы,2216-04-20,3.49
Анор Лондо,Целебные травы,2216-04-21,4.0
Анор Лондо,Целебные травы,2216-04-22,3.86
Анор Лондо,Целебные травы,2216-04-23,3.88
Анор Лондо,Целебные травы,2216-04-24,3.18
Анор Лондо,Целебные травы,2216-04-25,4.02
Анор Лондо,Целебные травы,2216-04-26,3.86
Анор Лондо,Целебные травы,2216-04-27,3.74
Анор Лондо,Целебные травы,2216-04-28,3.99
Анор Лондо,Целебные травы,2216-04-29,3.99
Анор Лондо,Целебные травы,2216-04-30,4.61
Анор Лондо,Целебные травы,2216-05-01,4.26
Анор Лондо,Целебные травы,2216-05-02,3.86
Анор Лондо,Целебные травы,2216-05-03,3.96
Анор Лондо,Целебные травы,2216-05-04,4.26
Анор Лондо,Целебные травы,2216-05-05,4.11
Анор Лондо,Целебные травы,2216-05-06,4.34
Анор Лондо,Целебные травы,2216-05-07,4.68
Анор Лондо,Целебные травы,2216-05-08,3.35
Анор Лондо,Целебные травы,2216-05-09,4.68
Анор Лондо,Целебные травы,2216-05-10,3.35
Анор Лондо,Целебные травы,2216-05-11,4.14
Анор Лондо,Целебные травы,2216-05-12,3.86
Анор Лондо,Целебные травы,2216-05-13,4.11
Анор Лондо,Целебные травы,2216-05-14,3.96
Анор Лондо,Целебные травы,2216-05-15,4.31
Анор Лондо,Целебные травы,2216-05-16,5.14
Анор Лондо,Целебные травы,2216-05-17,4.99
Анор Лондо,Целебные травы,2216-05-18,4.07
Анор Лондо,Целебные травы,2216-05-19,4.47
Анор Лондо,Целебные травы,2216-05-20,4.74
Анор Лондо,Целебные травы,2216-05-21,4.4
Анор Лондо,Целебные травы,2216-05-22,4.53
Анор Лондо,Целебные травы,2216-05-23,4.73
Анор Лондо,Целебные травы,2216-05-24,4.28
Анор Лондо,Целебные травы,2216-05-25,3.67
Анор Лондо,Целебные травы,2216-05-26,4.45
Анор Лондо,Целебные травы,2216-05-27,4.73
Анор Лондо,Целебные травы,2216-05-28,3.67
Анор Лондо,Целебные травы,2216-05-29,4.73
Анор Лондо,Целебные травы,2216-05-30,4.91
Анор Лондо,Целебные травы,2216-05-31,4.73
Анор Лондо,Целебные травы,2216-06-01,4.73
Анор Лондо,Целебные травы,2216-06-02,4.25
Анор Лондо,Целебные травы,2216-06-03,3.61
Анор Лондо,Целебные травы,2216-06-04,4.83
Анор Лондо,Целебные травы,2216-06-05,5.24
Анор Лондо,Целебные травы,2216-06-06,4.76
Анор Лондо,Целебные травы,2216-06-07,4.82
Анор Лондо,Целебные травы,2216-06-08,5.51
Анор Лондо,Целебные травы,2216-06-09,3.52
Анор Лондо,Целебные травы,2216-06-10,4.82
Анор Лондо,Целебные травы,2216-06-11,4.76
Анор Лондо,Целебные травы,2216-06-12,4.86
Анор Лондо,Целебные травы,2216-06-13,4.47
Анор Лондо,Целебные травы,2216-06-14,5.83
Анор Лондо,Целебные травы,2216-06-15,5.54
Анор Лондо,Целебные травы,2216-06-16,4.35
Анор Лондо,Целебные травы,2216-06-17,4.47
Анор Лондо,Целебные травы,2216-06-18,4.82
Анор Лондо,Целебные травы,2216-06-19,4.82
Анор Лондо,Целебные травы,2216-06-20,4.68
Анор Лондо,Целебные травы,2216-06-21,4.54
Анор Лондо,Целебные травы,2216-06-22,5.46
Анор Лондо,Целебные травы,2216-06-23,4.94
Анор Лондо,Целебные травы,2216-06-24,4.99
Анор Лондо,Целебные травы,2216-06-25,5.1
Анор Лондо,Целебные травы,2216-06-26,4.59
Анор Лондо,Целебные травы,2216-06-27,4.09
Анор Лондо,Целебные травы,2216-06-28,4.99
Анор Лондо,Целебные травы,2216-06-29,5.3
Анор Лондо,Целебные травы,2216-06-30,4.41
Анор Лондо,Целебные травы,2216-07-01,4.41
Анор Лондо,Целебные травы,2216-07-02,4.89
Анор Лондо,Целебные травы,2216-07-03,4.77
Анор Лондо,Целебные травы,2216-07-04,4.54
Анор Лондо,Целебные травы,2216-07-05,4.63
Анор Лондо,Целебные травы,2216-07-06,4.54
Анор Лондо,Целебные травы,2216-07-07,4.89
Анор Лондо,Целебные травы,2216-07-08,4.54
Анор Лондо,Целебные травы,2216-07-09,4.72
Анор Лондо,Целебные травы,2216-07-10,4.93
Анор Лондо,Целебные травы,2216-07-11,4.93
Анор Лондо,Целебные травы,2216-07-12,4.73
Анор Лондо,Целебные травы,2216-07-13,4.57
Анор Лондо,Целебные травы,2216-07-14,4.89
Анор Лондо,Целебные травы,2216-07-15,4.89
Анор Лондо,Целебные травы,2216-07-16,4.89
Анор Лондо,Целебные травы,2216-07-17,4.73
Анор Лондо,Целебные травы,2216-07-18,4.57
Анор Лондо,Целебные травы,2216-07-19,4.41
Анор Лондо,Целебные травы,2216-07-20,4.93
Анор Лондо,Целебные травы,2216-07-21,4.93
Анор Лондо,Целебные травы,2216-07-22,4.89
Анор Лондо,Целебные травы,2216-07-23,4.41
Анор Лондо,Целебные травы,2216-07-24,4.73
Анор Лондо,Целебные травы,2216-07-25,5.49
Анор Лондо,Целебные травы,2216-07-26,4.66
Анор Лондо,Целебные травы,2216-07-27,4.92
Анор Лондо,Целебные травы,2216-07-28,5.38
Анор Лондо,Целебные травы,2216-07-29,5.99
Анор Лондо,Целебные травы,2216-07-30,5.27
Анор Лондо,Целебные травы,2216-07-31,5.27
Анор Лондо,Целебные травы,2216-08-01,4.84
Анор Лондо,Целебные травы,2216-08-02,4.93
Анор Лондо,Целебные травы,2216-08-03,5.24
Анор Лондо,Целебные травы,2216-08-04,4.76
Анор Лондо,Целебные травы,2216-08-05,5.99
Анор Лондо,Целебные травы,2216-08-06,5.01
Анор Лондо,Целебные травы,2216-08-07,4.93
Анор Лондо,Целебные травы,2216-08-08,5.29
Анор Лондо,Целебные травы,2216-08-09,4.84
Анор Лондо,Целебные травы,2216-08-10,4.84
Анор Лондо,Целебные травы,2216-08-11,5.3
Анор Лондо,Целебные травы,2216-08-12,5.48
Анор Лондо,Целебные травы,2216-08-13,5.48
Анор Лондо,Целебные травы,2216-08-14,5.36
Анор Лондо,Целебные травы,2216-08-15,5.46
Анор Лондо,Целебные травы,2216-08-16,5.31
Анор Лондо,Целебные травы,2216-08-17,5.85
Анор Лондо,Целебные травы,2216-08-18,5.31
Анор Лондо,Целебные травы,2216-08-19,5.46
Анор Лондо,Целебные травы,2216-08-20,5.36
Анор Лондо,Целебные травы,2216-08-21,5.46
Анор Лондо,Целебные травы,2216-08-22,4.87
Анор Лондо,Целебные травы,2216-08-23,5.26
Анор Лондо,Целебные травы,2216-08-24,5.8
Анор Лондо,Целебные травы,2216-08-25,5.23
Анор Лондо,Целебные травы,2216-08-26,5.26
Анор Лондо,Целебные травы,2216-08-27,5.26
Анор Лондо,Целебные травы,2216-08-28,5.08
Анор Лондо,Целебные травы,2216-08-29,5.23
Анор Лондо,Целебные травы,2216-08-30,5.53
Анор Лондо,Целебные травы,2216-08-31,5.18
Анор Лондо,Целебные травы,2216-09-01,5.36
Анор Лондо,Целебные травы,2216-09-02,5.96
Анор Лондо,Целебные травы,2216-09-03,5.42
Анор Лондо,Целебные травы,2216-09-04,5.15
Анор Лондо,Целебные травы,2216-09-05,5.15
Анор Лондо,Целебные травы,2216-09-06,5.36
Анор Лондо,Целебные травы,2216-09-07,5.42
Анор Лондо,Целебные травы,2216-09-08,5.42
Анор Лондо,Целебные травы,2216-09-09,5.23
Анор Лондо,Целебные травы,2216-09-10,5.96
Анор Лондо,Целебные травы,2216-09-11,5.34
Анор Лондо,Целебные травы,2216-09-12,5.19
Анор Лондо,Целебные травы,2216-09-13,5.3
Анор Лондо,Целебные травы,2216-09-14,5.61
Анор Лондо,Целебные травы,2216-09-15,5.61
Анор Лондо,Целебные травы,2216-09-16,6.25
Анор Лондо,Целебные травы,2216-09-17,5.12
Анор Лондо,Целебные травы,2216-09-18,5.46
Анор Лондо,Целебные травы,2216-09-19,5.68
Анор Лондо,Целебные травы,2216-09-20,5.41
Анор Лондо,Целебные травы,2216-09-21,5.45
Анор Лондо,Целебные травы,2216-09-22,6.25
Анор Лондо,Целебные травы,2216-09-23,5.41
Анор Лондо,Целебные травы,2216-09-24,4.97
Анор Лондо,Целебные травы,2216-09-25,6.25
Анор Лондо,Целебные травы,2216-09-26,5.98
Анор Лондо,Целебные травы,2216-09-27,5.64
Анор Лондо,Целебные травы,2216-09-28,5.64
Анор Лондо,Целебные травы,2216-09-29,5.33
Анор Лондо,Целебные травы,2216-09-30,5.64
Анор Лондо,Целебные травы,2216-10-01,5.7
Анор Лондо,Целебные травы,2216-10-02,5.73
Анор Лондо,Целебные травы,2216-10-03,5.7
Анор Лондо,Целебные травы,2216-10-04,5.58
Анор Лондо,Целебные травы,2216-10-05,5.82
Анор Лондо,Целебные травы,2216-10-06,6.52
Анор Лондо,Целебные травы,2216-10-07,5.48
Анор Лондо,Целебные травы,2216-10-08,5.82
Анор Лондо,Целебные травы,2216-10-09,5.48
Анор Лондо,Целебные травы,2216-10-10,5.77
Анор Лондо,Целебные травы,2216-10-11,5.77
Анор Лондо,Целебные травы,2216-10-12,5.77
Анор Лондо,Целебные травы,2216-10-13,5.4
Анор Лондо,Целебные травы,2216-10-14,5.45
Анор Лондо,Целебные травы,2216-10-15,5.45
Анор Лондо,Целебные травы,2216-10-16,5.31
Анор Лондо,Целебные травы,2216-10-17,5.77
Анор Лондо,Целебные травы,2216-10-18,5.64
Анор Лондо,Целебные травы,2216-10-19,6.47
Анор Лондо,Целебные травы,2216-10-20,5.76
Анор Лондо,Целебные травы,2216-10-21,5.76
Анор Лондо,Целебные травы,2216-10-22,5.67
Анор Лондо,Целебные травы,2216-10-23,5.67
Анор Лондо,Целебные травы,2216-10-24,5.86
Анор Лондо,Целебные травы,2216-10-25,5.5
Анор Лондо,Целебные травы,2216-10-26,5.67
Анор Лондо,Целебные травы,2216-10-27,6.47
Анор Лондо,Целебные травы,2216-10-28,5.99
Анор Лондо,Целебные травы,2216-10-29,5.89
