place,hot,rain,snow,date
Фалькония,0,0,0,2216-01-02
Анор Лондо,1,0,0,2216-01-02
Врата Балдура,0,0,1,2216-01-02
Нокрон,0,0,0,2216-01-02
Кеджистан,0,0,1,2216-01-02
Фалькония,0,0,1,2216-01-03
Анор Лондо,1,0,0,2216-01-03
Врата Балдура,0,0,1,2216-01-03
Нокрон,0,0,1,2216-01-03
Кеджистан,0,0,0,2216-01-03
Фалькония,0,0,1,2216-01-04
Анор Лондо,0,0,0,2216-01-04
Врата Балдура,0,1,0,2216-01-04
Нокрон,0,0,1,2216-01-04
Кеджистан,1,0,0,2216-01-04
Фалькония,0,0,0,2216-01-05
Анор Лондо,0,0,0,2216-01-05
Врата Балдура,1,0,0,2216-01-05
Нокрон,0,0,1,2216-01-05
Кеджистан,0,1,0,2216-01-05
Фалькония,0,0,0,2216-01-06
Анор Лондо,0,0,1,2216-01-06
Врата Балдура,0,0,1,2216-01-06
Нокрон,0,0,0,2216-01-06
Кеджистан,0,0,0,2216-01-06
Фалькония,0,1,0,2216-01-07
Анор Лондо,1,0,0,2216-01-07
Врата Балдура,0,1,0,2216-01-07
Нокрон,1,0,0,2216-01-07
Кеджистан,0,0,0,2216-01-07
Фалькония,0,0,0,2216-01-08
Анор Лондо,0,1,0,2216-01-08
Врата Балдура,0,1,0,2216-01-08
Нокрон,0,1,0,2216-01-08
Кеджистан,0,0,0,2216-01-08
Фалькония,0,0,0,2216-01-09
Анор Лондо,1,0,0,2216-01-09
Врата Балдура,0,0,1,2216-01-09
Нокрон,0,0,1,2216-01-09
Кеджистан,0,1,0,2216-01-09
Фалькония,0,1,0,2216-01-10
Анор Лондо,1,0,0,2216-01-10
Врата Балдура,0,1,0,2216-01-10
Нокрон,0,1,0,2216-01-10
Кеджистан,0,0,0,2216-01-10
Фалькония,0,0,0,2216-01-11
Анор Лондо,0,0,0,2216-01-11
Врата Балдура,0,0,1,2216-01-11
Нокрон,0,1,0,2216-01-11
Кеджистан,0,0,0,2216-01-11
Фалькония,0,0,0,2216-01-12
Анор Лондо,0,0,0,2216-01-12
Врата Балдура,0,1,0,2216-01-12
Нокрон,0,0,1,2216-01-12
Кеджистан,0,0,0,2216-01-12
Фалькония,0,1,0,2216-01-13
Анор Лондо,1,0,0,2216-01-13
Врата Балдура,0,0,0,2216-01-13
Нокрон,0,0,0,2216-01-13
Кеджистан,1,0,0,2216-01-13
Фалькония,0,1,0,2216-01-14
Анор Лондо,0,0,0,2216-01-14
Врата Балдура,0,0,1,2216-01-14
Нокрон,0,0,0,2216-01-14
Кеджистан,1,0,0,2216-01-14
Фалькония,0,0,0,2216-01-15
Анор Лондо,0,0,1,2216-01-15
Врата Балдура,0,1,0,2216-01-15
Нокрон,0,0,0,2216-01-15
Кеджистан,0,0,0,2216-01-15
Фалькония,0,0,1,2216-01-16
Анор Лондо,0,1,0,2216-01-16
Врата Балдура,0,0,1,2216-01-16
Нокрон,1,0,0,2216-01-16
Кеджистан,0,0,0,2216-01-16
Фалькония,0,0,0,2216-01-17
Анор Лондо,0,0,0,2216-01-17
Врата Балдура,0,0,0,2216-01-17
Нокрон,0,1,0,2216-01-17
Кеджистан,1,0,0,2216-01-17
Фалькония,1,0,0,2216-01-18
Анор Лондо,0,0,1,2216-01-18
Врата Балдура,0,0,0,2216-01-18
Нокрон,0,0,0,2216-01-18
Кеджистан,0,0,1,2216-01-18
Фалькония,0,0,0,2216-01-19
Анор Лондо,0,0,1,2216-01-19
Врата Балдура,0,1,0,2216-01-19
Нокрон,0,0,1,2216-01-19
Кеджистан,0,0,0,2216-01-19
Фалькония,0,0,1,2216-01-20
Анор Лондо,0,0,0,2216-01-20
Врата Балдура,0,0,1,2216-01-20
Нокрон,0,1,0,2216-01-20
Кеджистан,0,0,0,2216-01-20
Фалькония,1,0,0,2216-01-21
Анор Лондо,1,0,0,2216-01-21
Врата Балдура,0,0,0,2216-01-21
Нокрон,0,0,0,2216-01-21
Кеджистан,0,0,0,2216-01-21
Фалькония,1,0,0,2216-01-22
Анор Лондо,0,0,0,2216-01-22
Врата Балдура,0,0,0,2216-01-22
Нокрон,0,1,0,2216-01-22
Кеджистан,0,0,0,2216-01-22
Фалькония,0,0,0,2216-01-23
Анор Лондо,0,0,0,2216-01-23
Врата Балдура,1,0,0,2216-01-23
Нокрон,0,0,0,2216-01-23
Кеджистан,0,1,0,2216-01-23
Фалькония,0,0,0,2216-01-24
Анор Лондо,1,0,0,2216-01-24
Врата Балдура,0,1,0,2216-01-24
Нокрон,0,0,0,2216-01-24
Кеджистан,0,0,0,2216-01-24
Фалькония,0,0,0,2216-01-25
Анор Лондо,0,0,1,2216-01-25
Врата Балдура,0,0,0,2216-01-25
Нокрон,0,1,0,2216-01-25
Кеджистан,0,0,0,2216-01-25
Фалькония,0,0,1,2216-01-26
Анор Лондо,0,1,0,2216-01-26
Врата Балдура,1,0,0,2216-01-26
Нокрон,0,1,0,2216-01-26
Кеджистан,0,0,0,2216-01-26
Фалькония,0,1,0,2216-01-27
Анор Лондо,0,0,1,2216-01-27
Врата Балдура,0,0,1,2216-01-27
Нокрон,0,0,0,2216-01-27
Кеджистан,0,0,0,2216-01-27
Фалькония,1,0,0,2216-01-28
Анор Лондо,0,1,0,2216-01-28
Врата Балдура,0,1,0,2216-01-28
Нокрон,1,0,0,2216-01-28
Кеджистан,0,0,0,2216-01-28
Фалькония,0,1,0,2216-01-29
Анор Лондо,0,0,0,2216-01-29
Врата Балдура,1,0,0,2216-01-29
Нокрон,0,0,0,2216-01-29
Кеджистан,0,0,0,2216-01-29
Фалькония,0,0,1,2216-01-30
Анор Лондо,0,0,0,2216-01-30
Врата Балдура,0,0,0,2216-01-30
Нокрон,0,0,0,2216-01-30
Кеджистан,0,0,1,2216-01-30
Фалькония,0,1,0,2216-01-31
Анор Лондо,0,1,0,2216-01-31
Врата Балдура,0,0,1,2216-01-31
Нокрон,0,0,0,2216-01-31
Кеджистан,0,0,0,2216-01-31
Фалькония,1,0,0,2216-02-01
Анор Лондо,0,0,0,2216-02-01
Врата Балдура,0,0,0,2216-02-01
Нокрон,0,1,0,2216-02-01
Кеджистан,0,0,0,2216-02-01
Фалькония,0,1,0,2216-02-02
Анор Лондо,0,1,0,2216-02-02
Врата Балдура,1,0,0,2216-02-02
Нокрон,0,0,1,2216-02-02
Кеджистан,0,0,1,2216-02-02
Фалькония,0,0,1,2216-02-03
Анор Лондо,0,0,0,2216-02-03
Врата Балдура,1,0,0,2216-02-03
Нокрон,0,0,0,2216-02-03
Кеджистан,0,0,0,2216-02-03
Фалькония,0,0,0,2216-02-04
Анор Лондо,0,0,0,2216-02-04
Врата Балдура,0,0,0,2216-02-04
Нокрон,1,0,0,2216-02-04
Кеджистан,0,0,0,2216-02-04
Фалькония,0,0,0,2216-02-05
Анор Лондо,0,0,0,2216-02-05
Врата Балдура,0,1,0,2216-02-05
Нокрон,0,0,0,2216-02-05
Кеджистан,0,0,1,2216-02-05
Фалькония,1,0,0,2216-02-06
Анор Лондо,0,0,0,2216-02-06
Врата Балдура,0,0,0,2216-02-06
Нокрон,0,0,1,2216-02-06
Кеджистан,0,1,0,2216-02-06
Фалькония,0,0,1,2216-02-07
Анор Лондо,0,0,0,2216-02-07
Врата Балдура,0,0,0,2216-02-07
Нокрон,0,0,0,2216-02-07
Кеджистан,0,0,0,2216-02-07
Фалькония,0,0,0,2216-02-08
Анор Лондо,0,0,0,2216-02-08
Врата Балдура,0,0,0,2216-02-08
Нокрон,0,0,0,2216-02-08
Кеджистан,0,1,0,2216-02-08
Фалькония,1,0,0,2216-02-09
Анор Лондо,0,0,0,2216-02-09
Врата Балдура,0,1,0,2216-02-09
Нокрон,0,1,0,2216-02-09
Кеджистан,0,0,0,2216-02-09
Фалькония,0,0,1,2216-02-10
