place,product,date,cost,competitors_mean_price,hot,rain,snow
Анор Лондо,Целебные травы,2218-09-28,6.950551168220022,9.764068752884272,0,0,0
Анор Лондо,Целебные травы,2218-09-29,6.945552908297029,9.79693907432139,1,0,0
Анор Лондо,Целебные травы,2218-09-30,6.926053202718498,9.648103944969684,0,0,0
Анор Лондо,Целебные травы,2218-10-01,6.902002599033977,9.573142202794324,0,1,0
Анор Лондо,Целебные травы,2218-10-02,6.955853539833423,9.638592845590233,0,0,0
Анор Лондо,Целебные травы,2218-10-03,7.010822933403321,9.660452807698604,0,0,0
Анор Лондо,Целебные травы,2218-10-04,7.066789598222796,9.542757361263117,0,0,0
Анор Лондо,Целебные травы,2218-10-05,7.0438425408486545,9.680498145862124,0,0,0
Анор Лондо,Целебные травы,2218-10-06,7.074093210659322,9.70231078219249,0,0,0
Анор Лондо,Целебные травы,2218-10-07,7.090031333621528,9.545675597754558,0,1,0
Анор Лондо,Целебные травы,2218-10-08,7.100922099306331,9.466388208169125,0,0,0
Анор Лондо,Целебные травы,2218-10-09,7.1885221440292835,9.531117697530478,0,1,0
Анор Лондо,Целебные травы,2218-10-10,7.275355531659584,9.55590149172281,0,0,0
Анор Лондо,Целебные травы,2218-10-11,7.360625084344132,9.444725112982047,1,0,0
Анор Лондо,Целебные травы,2218-10-12,7.363774708352779,9.592441818051029,0,0,1
Анор Лондо,Целебные травы,2218-10-13,7.416315527448443,9.627464016887332,0,1,0
Анор Лондо,Целебные травы,2218-10-14,7.450195086972508,9.486969886096874,0,0,1
Анор Лондо,Целебные травы,2218-10-15,7.474207065275465,9.426381755204671,1,0,0
Анор Лондо,Целебные травы,2218-10-16,7.569718608547895,9.511933796728062,0,1,0
Анор Лондо,Целебные травы,2218-10-17,7.658956184016746,9.559177860614145,0,1,0
Анор Лондо,Целебные травы,2218-10-18,7.740925026354858,9.47157535370095,1,0,0
Анор Лондо,Целебные травы,2218-10-19,7.73497758263279,9.643429852706582,0,0,0
Анор Лондо,Целебные травы,2218-10-20,7.772643573456388,9.702592015728216,1,0,0
